Exit_Number,Name,Latitude,Longitude,OSM_ID
"10","New Castle",40.8404797,-80.3845269,200659479
"10","",40.8345722,-80.3722582,310943605
"13","Beaver Valley",40.8136768,-80.3242375,200698653
"13","Beaver Valley",40.813054,-80.3227116,311343253
"28","Cranberry",40.6742311,-80.1016099,311436261
"28","Cranberry",40.6821328,-80.1061811,755496289
"39","Butler Valley",40.6084173,-79.9453584,713280848
"39","Butler Valley",40.6083046,-79.9453434,713282313
"48","Allegheny Valley",40.5394532,-79.8228098,1463828484
"48","Allegheny Valley",40.5467306,-79.8242211,1463828485
"57","Pittsburgh",40.4343436,-79.7480451,686611952
"57","Pittsburgh",40.4372346,-79.7499803,686612047
"67","",40.3124089,-79.6785751,472389240
"67","Irwin",40.3087728,-79.6759349,1365510149
"75","New Stanton",40.2207358,-79.6034529,33991781
"75","New Stanton",40.2259733,-79.6092695,33991792
"91","Donegal",40.1117563,-79.3871879,444311186
"91","Donegal",40.1097753,-79.3822645,444312134
"110","Somerset",40.0205815,-79.0816095,148780506
"110","Somerset",40.0214444,-79.0841707,801073652
"146","Bedford",40.0482196,-78.5090015,200902183
"146","Bedford",40.0499454,-78.5176181,444620246
"161","Breezewood",39.9871627,-78.2518762,201011558
"161","Breezewood",39.986508,-78.261804,201405687
"180","Fort Littleton",40.0545268,-77.9568484,32907604
"180","Fort Littleton",40.049731,-77.9607146,425244674
"189","Willow Hill",40.0952209,-77.8180178,428509324
"189","Willow Hill",40.0983985,-77.8129322,1901353898
"201","Blue Mountain",40.1565134,-77.6176503,106974535
"201","Blue Mountain",40.1608462,-77.6102191,111862061
"226","Carlisle",40.2269674,-77.1612913,111366677
"226","Carlisle",40.2281872,-77.1525115,111676393
"236","",40.196158,-76.982112,111623049
"236","",40.1957856,-76.9770611,802260551
"242","Harrisburg West",40.2119879,-76.8774747,53476849
"242","Harrisburg West",40.2100922,-76.8671296,53488593
"247","Harrisburg East",40.2153106,-76.7837636,1124840188
"247","Harrisburg East",40.214341,-76.7909841,1901353894
"266","Lebanon-Lancaster",40.2297313,-76.4335933,463015331
"266","Lebanon-Lancaster",40.2298436,-76.4407567,6067520486
"286","Reading",40.2167289,-76.0769593,107295090
"286","Reading",40.2155013,-76.0703675,463006143
"298","Morgantown",40.1596071,-75.8820166,229405902
"298","Morgantown",40.1585765,-75.8783233,1364943411
"312","Downingtown",40.0664852,-75.6600645,27164757
"312","Downingtown",40.0689958,-75.6718703,462767722
"320","SR 29",40.0762818,-75.5374518,846697031
"320","SR 29",40.0736234,-75.5232829,1046413828
"326","Valley Forge",40.090572,-75.4132545,112260834
"327","",40.08708,-75.4019729,287901081
"328B-A/327","",40.0815286,-75.3882336,112260753
"328A","",40.0852761,-75.3984101,287901074
"328B","",40.0831675,-75.3940871,287901019
"329","",40.0738849,-75.3487772,112260708
"330","",40.0660505,-75.3327289,169008385
"330","",40.0718376,-75.3456491,287913141
"331A","",40.0636857,-75.3265645,111542178
"331A","",40.0653214,-75.3197771,169096021
"331B","",40.0662842,-75.313683,169018053
"331B","",40.0637691,-75.3244016,169102608
"332","",40.0671057,-75.3093548,169011367
"337","",40.0371792,-75.2468524,945875811
"338","",40.0266252,-75.2314995,360983173
"338","",40.0244874,-75.226658,1200543263
"339","",40.0106909,-75.2077583,360984127
"339","",40.0119009,-75.2109211,534023122
"339","",40.0015146,-75.1946022,4458599076
"340A","",40.0077614,-75.2010635,360984042
"340A","",40.0127498,-75.2119562,360984511
"340B","",40.0074849,-75.2010056,109748703
"340B","",40.0030648,-75.1944318,109748955
"341","",39.9897255,-75.2060017,109781521
"341","",39.9835549,-75.2080698,109786935
"342","",39.977246,-75.200066,109916625
"342","",39.9710344,-75.1930928,109918682
"343","",39.965979,-75.186742,109788517
"344","",39.9611143,-75.1822827,109916149
"344","",39.9563656,-75.1804777,344168787
"345","",39.9515331,-75.1826086,109918290
"345","",39.9635219,-75.1841554,774091746
"346C","",39.93113,-75.199307,109748357
"346C","",39.9276773,-75.1956265,109773755
"346A","",39.9459874,-75.1895218,109761712
"346A","",39.9491461,-75.1850061,109915821
"346B","",39.9327028,-75.2000379,109917904
"346B","",39.9435571,-75.1925896,6169097376
"347","",39.9222321,-75.1898937,109774579
"347B;347A","",39.9248668,-75.1932989,774091714
"348","",39.9135269,-75.1821708,520708483
"349","",39.9116205,-75.1661275,109742507
"349","",39.9126501,-75.1750006,633550742
"350","",39.910892,-75.1604492,636525281
"350","",39.9114047,-75.1654421,636525557
"351","",39.9103941,-75.1577844,636524203
"N/A","",40.2037503,-79.5628951,33991747
"N/A","",39.9983015,-79.0402757,108367367
"N/A","",40.0901352,-75.407418,111549621
"N/A","",40.2055157,-77.2936341,111714162
"N/A","",40.1665787,-77.5902659,111858325
"N/A","",40.0574458,-78.0830042,148576041
"N/A","",40.0586977,-78.0866044,148576073
"N/A","",40.033763,-78.497094,200916833
"N/A","",40.0286687,-78.4881156,201810722
"N/A","",40.0011106,-79.0487068,444353744
"N/A","BEAVER VALLEY",40.812948,-80.3227272,746197933
"N/A","",40.082709,-75.4435692,851374264
"N/A","",40.5225423,-79.8173567,1463828588
"N/A","",40.2103932,-76.747225,1838815415
"N/A","",40.1203383,-75.7740785,5956886759
