28milename,segment_start_mile,segment_end_mile,14milelat,14milelon,actual_midpoint_mile
mile28,0,28.0,40.71226174545455,-80.16232651818181,14.67
mile56,28,56.0,40.465112399999995,-79.76984289090909,42.03
mile84,56,84.0,40.15012457272727,-79.46269664545454,69.99
mile112,84,112.0,40.02592039090909,-78.97906560909091,97.62
mile140,112,140.0,40.03264429090909,-78.44785061818182,126.03
mile168,140,168.0,40.053866445454545,-77.94774216363636,153.71
mile196,168,196.0,40.18489027272727,-77.44697262727273,181.85
mile224,196,224.0,40.213160418181815,-76.92061354545454,210.0
mile252,224,252.0,40.22854926363636,-76.40117202727272,237.53
mile280,252,280.0,40.1585765,-75.8783233,265.94
mile292,280,292.3,40.090572,-75.4132545,292.3
